ID,Name,Sentiment,Tweet
12801,Xbox(Xseries),Irrelevant,Pretty sure that Tetris Effect is already the best launch title for the Xbox Series X.
12801,Xbox(Xseries),Irrelevant,Pretty sure that Tetris Effect is already the best launch title for Xbox Series X.
12801,Xbox(Xseries),Irrelevant,Pretty is confident that the Tetris Effect is already the best starting title for the Xbox Series X.
12801,Xbox(Xseries),Irrelevant,Pretty sure that Tetris Effect may already the best launch title for the Xbox Series X.
12801,Xbox(Xseries),Irrelevant,1 Pretty sure that Tetris Effect is already considered the best launch title for in the Xbox Series X.
12801,Xbox(Xseries),Irrelevant,Pretty sure that Mass Effect<unk> already the best launch title for the Xbox 3 X.
12802,Xbox(Xseries),Irrelevant,I Tried To Preorder An Xbox Series S - That Went Down Like A Lead Balloon trbr.io/VuCMI7q via @Kurisu_Yamato https://t.co/oTa0YBavNi
12802,Xbox(Xseries),Irrelevant,I tried to pre-order an Xbox Series S - which went down like a lead balloon trbr.io / VuCMI7q via @ Kurisu _ Yamato https: / / t.co / oTa0YBavNi
12802,Xbox(Xseries),Irrelevant,I Tried To Preorder An Xbox Series S - That Went Down Like A Lead Bentley on trbr.io / VuCMI7q via @ Kurisu _ Yamato https: / / Fenco / oTa0YBavNi
12802,Xbox(Xseries),Irrelevant,I Tried To Preorder An Xbox Series S - That Comes In Like A Lead Balloon trbr.io/VuCMI7q via @Kurisu_Yamato 4]
12802,Xbox(Xseries),Irrelevant,I Only Tried To Get Preorder What An Xbox Series for S - 24 That I Went on Down Up Like A Lead Balloon trbr. 9 io / VuCMI7q via @Kurisu_Yamato https://t.co/oTa0YBavNi ]
12802,Xbox(Xseries),Irrelevant,I Tried Having Preorder An Xbox PS S - That Went Fixed With A Galaxy Balloon trbr.io/VuCMI7q via [[ https://t.co/oTa0YBavNi]
12803,Xbox(Xseries),Positive,So glad I'll be experiencing  
12803,Xbox(Xseries),Positive,So glad that I will experience
12803,Xbox(Xseries),Positive,So glad I got to experience it
12803,Xbox(Xseries),Positive,So glad you be experiencing
12803,Xbox(Xseries),Positive,So completely glad I'll be experiencing
12803,Xbox(Xseries),Positive,So glad I'll be a
12804,Xbox(Xseries),Irrelevant,"I might have to get an Xbox Series X just because of Fable. Please don't screw this up, I'm hype.. .  "
12804,Xbox(Xseries),Irrelevant,"Maybe I have to get an Xbox Series X just because of Fable. Please don't mess that up, I'm a hype..."
12804,Xbox(Xseries),Irrelevant,"I might have to buy an Xbox Series X just because of Fable. Please don't tighten the nuts, I'm a hobby..."
12804,Xbox(Xseries),Irrelevant,"I might have to get that Xbox Series X just because its Fable. Please don't screw this up, I'm hype..."
12804,Xbox(Xseries),Irrelevant,"I might have to get an Xbox exclusive Series Five X just because because cheap of Fable. Please don'll t screw this up, save I'm hype..."
12804,Xbox(Xseries),Irrelevant,"boys might have to get an Xbox Series X just off of Fable. Now don't screw everything up, I'm hype..."
12805,Xbox(Xseries),Positive,got a new xbox series x from best buy. heck yeah
12805,Xbox(Xseries),Positive,got a new Xbox series x from Best Buy.
12805,Xbox(Xseries),Positive,got a new xbox series from best buy. heck-ah
12805,Xbox(Xseries),Positive,got a black xbox series x from best buy. heck yeah
12805,Xbox(Xseries),Positive,got a strange new xbox series x from best buy. Ah heck yeah
12805,Xbox(Xseries),Positive,got a new xbox series x from best buy. Why yeah
12806,Xbox(Xseries),Positive,Pretty cool to see the next gen games being announced and stuff. I’m more excited to see how the official  
12806,Xbox(Xseries),Positive,Pretty cool to see how the next gene games are announced and so on. I'm more curious to see how the official
12806,Xbox(Xseries),Positive,It's nice to see how the next Gen games are announced and something else. I'm more excited about how the official
12806,Xbox(Xseries),Positive,Pretty cool to see new next gen games being announced and played. I’m more excited to see how the official
12806,Xbox(Xseries),Positive,Pretty cool to see the next gen games being announced tonight and stuff. I could ’ m more excited about to have see how the official
12806,Xbox(Xseries),Positive,Pretty cool to see that next gen trilogy being announced and stuff. But more excited to see how the official
12807,Xbox(Xseries),Irrelevant,We’re glad we’re finally able to confirm that our line of  . We’re also glad we’re not the ones who leaked it .  pic.twitter.com/wcnRH4YRMY
12807,Xbox(Xseries),Irrelevant,We are glad that we can finally confirm this line. We are also glad that we are not the ones who leaked it. pic.twitter.com / wcnRH4YRMY
12807,Xbox(Xseries),Irrelevant,We are glad that we were finally able to confirm that our line. We are also glad that we are not the ones who leaked into the press. pic.facebook.com / wcnRH4YRMY
12807,Xbox(Xseries),Irrelevant,We’re glad we’re finally able to confirm that our line of  . We’re also glad we’re not the ones who leaked it .  pic.twitter.com/wcnRH4YRMY
12807,Xbox(Xseries),Irrelevant,2006 We’re glad we’re finally able to confirm that our line of  . We’re also glad we’re not the ones who leaked it .  pic.twitter.com/wcnRH4YRMY
12807,Xbox(Xseries),Irrelevant,about
12808,Xbox(Xseries),Negative,haha new  
12808,Xbox(Xseries),Negative,haha
12808,Xbox(Xseries),Negative,haha new
12808,Xbox(Xseries),Negative,haha<unk>
12808,Xbox(Xseries),Negative,And haha new
12808,Xbox(Xseries),Negative,haha I
12809,Xbox(Xseries),Positive,"@Xbox @majornelson I’d love to bring home a new Xbox Series X, but they are all sold out. So the emails are VERY misleading. Just sayin."
12809,Xbox(Xseries),Positive,"@ Xbox @ majornelson I'd love to take home a new Xbox Series X, but they're all sold out, so the emails are VERY misleading."
12809,Xbox(Xseries),Positive,"@ Xbox @ majenelson I would love to bring home the new Xbox Series X, but they're all sold out."
12809,Xbox(Xseries),Positive,"@Xbox @majornelson I’d love yo bring up a new Xbox Series X, but they are all sold out. All the emails are VERY misleading. Just sayin."
12809,Xbox(Xseries),Positive,"@Xbox @majornelson I ’ d really love to come bring back home a whole new Xbox Series level X, but they are all sold out. and So the emails now are VERY misleading. They Just sayin."
12809,Xbox(Xseries),Positive,"@Xbox that I’d love to find home a $200 Canon Series X, but the are all sold out. Because the emails are VERY misleading. Just sayin."
12810,Xbox(Xseries),Irrelevant,HELLS YES!!! SO PUMPED TO FINALLY SEE SOME VAMPIRE BLOODLINES 2.  
12810,Xbox(Xseries),Irrelevant,HELPS YES!!! SO PUMPED TO FINALLY SEE SOME VAMPIRE BLOODLINES 2.
12810,Xbox(Xseries),Irrelevant,HEALTH YES!!! SO PUMPED TO FINALLY SEE SOMPIRE VAMPIRE BLOODES 2.
12810,Xbox(Xseries),Irrelevant,HELLS YES!!! SO PUMPED<unk> PLEASE SEE SOME VAMPIRE BLOODLINES 2.
12810,Xbox(Xseries),Irrelevant,HELLS YES!!!... SO... PUMPED TO TO ME FINALLY SEE ON SOME or VAMPIRE BLOODLINES Chapter 2.
12810,Xbox(Xseries),Irrelevant,HELLS YES!!! THAT PUMPED D FINALLY SEE SOME NEW BLOODLINES and.
12811,Xbox(Xseries),Irrelevant,all i gotta say is my man better act right
12811,Xbox(Xseries),Irrelevant,All I have to say is that my husband is doing the right thing
12811,Xbox(Xseries),Irrelevant,All I'm saying is my man better do the right thing
12811,Xbox(Xseries),Irrelevant,all i gotta say is That man better act right
12811,Xbox(Xseries),Irrelevant,all i gotta say is my old man better than act right
12811,Xbox(Xseries),Irrelevant,all i gotta say is my man just act right
12812,Xbox(Xseries),Irrelevant,Its such an amazing game. Literally some of the most fun I’ve had in an action game since uncharted 4
12812,Xbox(Xseries),Irrelevant,It's such an amazing game. Literally some of the funniest I've had in an action game since Uncharted 4
12812,Xbox(Xseries),Irrelevant,Its such an amazing game. Literally some of the most fun I've had in an action game since uncharted 4
12812,Xbox(Xseries),Irrelevant,Its such an amazing game. Literally some of the most fun I’ve had on ANY action game since uncharted 4
12812,Xbox(Xseries),Irrelevant,Its such an amazing extreme game. 4 Literally some of the most fun I ’ on ve even had in an action game published since uncharted 4
12812,Xbox(Xseries),Irrelevant,Its such an extreme thing. Literally some of the last fun I’ve had was an action game since uncharted 4
12813,Xbox(Xseries),Neutral,my mans @SamManlol needs this BAD  
12813,Xbox(Xseries),Neutral,my mans @ SamManlol needs this HISTORY
12813,Xbox(Xseries),Neutral,my mans @ SamManlol needs this BAD
12813,Xbox(Xseries),Neutral,my mans @SamManlol needs this money
12813,Xbox(Xseries),Neutral,my mans @SamManlol it needs with this BAD
12813,Xbox(Xseries),Neutral,my mans child needs this BAD
12814,Xbox(Xseries),Positive,Xbox Series X - 12 TFLOPs. PS5 - 10.28 TFLOPs. My poor RTX 2070 Super - 9.062 TFLOPs
12814,Xbox(Xseries),Positive,"Xbox Series X - 12 TFLOPs. PS5 - 10.28 TFLOPs. My bad RTX 2070 Super - 9,062 TFLOPs"
12814,Xbox(Xseries),Positive,Xbox Series X - 12 TFLOPs. PS5 - 10.28 TFLOPs.
12814,Xbox(Xseries),Positive,Xbox Series X - 12 10. PS5 had 10.28 TFLOPs. My poor RTX 760 Super - 9.062 TFLOPs
12814,Xbox(Xseries),Positive,2013 Xbox One Series X - Season 12 TFLOPs. The PS5 - 10. 28 million TFLOPs. My poor luck RTX 2070 Super - Series 9. 062 TFLOPs
12814,Xbox(Xseries),Positive,Xbox Series X - 11 TFLOPs. Fire - 10.28 TFLOPs. This poor RTX Professional Edition - 9.062 W
12815,Xbox(Xseries),Positive,Stress tested Savostore by shipping in very delicate items and glad to say they got here in perfect condition. When the Xbox series X arrives I'm definitely using them to ship it in.
12815,Xbox(Xseries),Positive,"Stress-test Savostore by shipping very delicate items and glad to say that they have come here in perfect condition. When the Xbox Series X comes, I will definitely use them to ship."
12815,Xbox(Xseries),Positive,tested Savostore by shipping very delicate items and I'm glad to say they got there in perfect condition.
12815,Xbox(Xseries),Positive,Stress tested themselves by shipping in extremely delicate items and glad to say they got here in perfect condition. When the Xbox series X releases I'm definitely using them to ship it in.
12815,Xbox(Xseries),Positive,Stress u tested Savostore opened by shipping in very delicate items and glad to say even they got everything here in perfect physical condition. When the Xbox series X arrives but I'm not definitely into using them to ship it in.
12815,Xbox(Xseries),Positive,Stress tested Savostore by shipping in very delicate items and glad to say they got returned in great condition. When the Xbox series X arrives I'm definitely using them to finish it immediately.
12816,Xbox(Xseries),Positive,Why y’all keep acting like Xbox can’t use both?? We got options
12816,Xbox(Xseries),Positive,Why does y'all behave as if the Xbox can't use both??
12816,Xbox(Xseries),Positive,Why do y'all continue to act like Xbox can't use both?
12816,Xbox(Xseries),Positive,Why y’all keep acting like Xbox can’t use both?? Developers got options
12816,Xbox(Xseries),Positive,Why y ’ all keep acting... like Xbox can ’ t use they both?? We got different options
12816,Xbox(Xseries),Positive,Why y’all keep acting like Xbox can’t use em?? We got something
12817,Xbox(Xseries),Negative,Did I just have really high expectations for the  
12817,Xbox(Xseries),Negative,Did I only have really high expectations of the
12817,Xbox(Xseries),Negative,Did I really have high expectations from
12817,Xbox(Xseries),Negative,Did n just have really high expectations for the
12817,Xbox(Xseries),Negative,Did I just have really high expectations on for the
12817,Xbox(Xseries),Negative,Did I just have crazy high expectations for the
12818,Xbox(Xseries),Neutral,Xbox Series X has tactile indicators over the ports goo.gl/fb/sP9Usd
12818,Xbox(Xseries),Neutral,Xbox series X has tactile indicators via the ports goo.gl / fb / sP9Usd
12818,Xbox(Xseries),Neutral,The Xbox Series X has tactful troublemakers over the goo.fb / sP9d ports
12818,Xbox(Xseries),Neutral,Xbox Series X has tactile buttons below the ports goo.gl/fb/sP9Usd
12818,Xbox(Xseries),Neutral,Xbox Series 4 X compatible has its tactile indicators over the console ports goo. gl / fb /... sP9Usd
12818,Xbox(Xseries),Neutral,3 Series 3 supports tactile indicators over the ports goo.gl/fb/sP9Usd
12820,Xbox(Xseries),Irrelevant,"LMFAO. . man, these xtwats will be servesd crows aplenty . . 🤣🤣🤣🤣🤣"
12820,Xbox(Xseries),Irrelevant,"LMFAO... man, these xtwats will be plentiful crows."
12820,Xbox(Xseries),Irrelevant,"LMO... man, these xtwats will be servesd crows aplenty."
12820,Xbox(Xseries),Irrelevant,"LMFAO.. man, they xtwats will c servesd crows aplenty...."
12820,Xbox(Xseries),Irrelevant,"by LMFAO.. man, these xtwats that will surely be much servesd crows aplenty.. p [UNK]"
12820,Xbox(Xseries),Irrelevant,"LMFAO.. man, what birds will drive a crows aplenty.. <unk>"
12821,Xbox(Xseries),Irrelevant,Geeeezus these bitches are huge . 
12821,Xbox(Xseries),Irrelevant,"Geeeezus, these bitches are huge."
12821,Xbox(Xseries),Irrelevant,Geeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.
12821,Xbox(Xseries),Irrelevant,Geeeezus these bitches are weak.
12821,Xbox(Xseries),Irrelevant,If Geeeezus makes these bitches are huge.
12821,Xbox(Xseries),Irrelevant,Geeeezus these eyes are huge.
12822,Xbox(Xseries),Positive,I like what @Xbox did with their box breath of fresh air! Great time to be a gamer!
12822,Xbox(Xseries),Positive,I like what @ Xbox has done with their box breath of fresh air! Great time to be a gamer!
12822,Xbox(Xseries),Positive,I love what @ Xbox did with their box a breath of fresh air!
12822,Xbox(Xseries),Positive,I LOVE what @Xbox did with some box breath of fresh air! Great time to be a gamer!
12822,Xbox(Xseries),Positive,I like what @Xbox did next with their box one breath of fresh Chicago air! Great time to be making a gamer!
12822,Xbox(Xseries),Positive,to like what @Xbox did with their own breath of fresh air! Great time to be you gamer!
12823,Xbox(Xseries),Positive,Wow . 
12823,Xbox(Xseries),Positive,Wow.
12823,Xbox(Xseries),Positive,Wow.
12823,Xbox(Xseries),Positive,Wow …
12823,Xbox(Xseries),Positive,O Wow.
12823,Xbox(Xseries),Positive,Wow.
12824,Xbox(Xseries),Irrelevant,"Why am I seeing fully grown men desperate for a ps5/Xbox series X/S?... . . Fucking hell, play with some tits instead you child. 🤣. "
12824,Xbox(Xseries),Irrelevant,"Why do I see grown men desperately looking for a PS5 / Xbox series X / S?...... damn it, better play with some boobs, child."
12824,Xbox(Xseries),Irrelevant,"Why do I see grown men desperately craving the 5 / Xbox X / S series?... Damn, play with someone, not a child."
12824,Xbox(Xseries),Irrelevant,"Why am I leaving other grown men desperate for his ps5/Xbox series X/S?..... Fucking hell, play with some tits instead you child. 🤣."
12824,Xbox(Xseries),Irrelevant,"Why am I seeing fully grown grown male men desperate for a ps5 / 2 Xbox series X / S?..... Fucking fucking hell, play with her some tits instead of you child. But [UNK]."
12824,Xbox(Xseries),Irrelevant,"Why am I seeing fully grown men desperate for that ps5/Xbox series that/S?..... Fucking women, play you some tits instead you say. <unk>."
12825,Xbox(Xseries),Irrelevant, 
12825,Xbox(Xseries),Irrelevant,It is not the first time that the EU Commission has taken such a step.
12825,Xbox(Xseries),Irrelevant,"At the same time, despite the fact that there are currently some 100 million people living below the poverty line, most of them do not have access to health services and do not have access to health care, while most of them do not have access to health care."
12825,Xbox(Xseries),Irrelevant,
12825,Xbox(Xseries),Irrelevant,
12825,Xbox(Xseries),Irrelevant,
12826,Xbox(Xseries),Positive,i want one . 
12826,Xbox(Xseries),Positive,I want one.
12826,Xbox(Xseries),Positive,i want one.
12826,Xbox(Xseries),Positive,i choose one.
12826,Xbox(Xseries),Positive,only i want one.
12826,Xbox(Xseries),Positive,i want gold.
12827,Xbox(Xseries),Irrelevant,This is a lie.. I've had a taste... it tastes like: pic.twitter.com/kjqgSZzLkm
12827,Xbox(Xseries),Irrelevant,This is a lie.. I had a taste... it tastes like: pic.twitter.com / kjqgSZzLkm
12827,Xbox(Xseries),Irrelevant,It's a lie.. I had a taste... it's delicious like this: pic.facebook.com / kjqgSZzLkm
